Accession,Release_Date,Species,Genus,Family,Length,Nuc_Completeness,Genotype,Genome_Region,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
QII87827,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87801,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-28,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87802,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-28,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87803,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-28,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87806,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-29,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87807,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-29,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QII87809,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-29,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87811,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-29,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QII87813,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-29,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87815,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-02-29,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII87817,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87819,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QII87820,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87823,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QII87825,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87779,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,28,GenBank,,,,"Hamedi Asl,D., Soleimani,M., Mirzapour,M., Shabadori,A., Kamali,M.",,Iran,Homo sapiens,,2020-02-29,,"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87775,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,133,GenBank,,,,"Kumar,P., Dhar,M., Vashistha,H., Singh,P., Sharma,U., Singh,S., Saini,N., Lall,H., Bala,M., Singh,S.K., Rakshit,P.",,India,Homo sapiens,,2020-02-29,,"nucleocapsid protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87776,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,88,GenBank,,,,"Kumar,P., Dhar,M., Vashistha,H., Singh,P., Sharma,U., Singh,S., Saini,N., Lall,H., Bala,M., Singh,S.K., Rakshit,P.",,India,Homo sapiens,,2020-02-29,,"nucleocapsid protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87777,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,GenBank,,,,"Karbalaie Niya,M.H., Laali,A., Tabibzadeh,A., Safarnezhad Tameshkel,F., Zamani,F., Sohrabi,M.R., Ranjbar,M., Savaj,S., Rezaie,N., Ajdarkosh,H., Keyvani,H., Khoonsari,M., Ameli,M., Nikkhah,M., Ghanbari,B., Faraji,A., Jamshidi Makiani,M., Roham,M.",,Iran,Homo sapiens,oronasopharynx,2020-02-29,,"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII87828,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87829,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII87831,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QII87838,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87830,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87833,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII87835,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QII87837,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QII87832,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87834,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QII87836,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
QII87839,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-01,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QII57260,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Paden,C.R., Tao,Y., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57263,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Paden,C.R., Tao,Y., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
QII57264,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Paden,C.R., Tao,Y., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
QII57288,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57295,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57296,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
QII57297,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII57298,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57299,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
QII57300,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57301,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57302,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
QII57303,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
QII57304,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
QII57305,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57306,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
QII57257,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Paden,C.R., Tao,Y., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII57258,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Paden,C.R., Tao,Y., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57262,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Paden,C.R., Tao,Y., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
QII57265,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Paden,C.R., Tao,Y., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-18,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57287,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII57289,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Uehara,A., Tao,Y., Paden,C.R., Queen,K., Zhang,J., Li,Y., Keckler,M.S., Laufer Halpin,A.S., Wang,H., Padilla,J., Lee,J., Elkins,C.A., Gerber,S.I., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
QII57166,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,161,GenBank,,,,"Salako,B.L., Audu,R.A., Sunday,O.A., Okwuraiwe,A., Amao,O., Shaibu,J.O., Onwuamah,C., James,A., Ajibaye,O., Iwalokun,B., Salu,O., Orenolu,R., Anyanwu,R., Obaleye,O., Ige,F., Faleye,T., Abiodun,M., Oni,G., Olohungbebe,M.",,Nigeria,Homo sapiens,"lung, oronasopharynx",2020-02-27,,"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QII57188,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57191,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57187,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII57189,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
QII57190,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57192,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
QII57193,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
QII57194,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
QII57195,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QII57196,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
QII57177,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QII57184,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Zhang,J., Li,Y., Wang,H., Kamili,S., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Wang,L., Murray,J.R., Padilla,J., Lee,J., Gerber,S.I., Lindstrom,S., Tong,S.",,USA,Homo sapiens,oronasopharynx,2020-02-17,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
